,values,score
113,0.0172016746086*islam 0.0167877635627*university 0.015858535339*islam. 0.0153022296451*religious 0.0137602993392*new 0.0137383758356*science 0.0125560680999*also 0.0110359070445*jihad 0.0106585967172*thought 0.0105726897348*against,-58.8329054181
114,"0.0361236530168*derrida, 0.032760087024*derrida 0.0278421512046*technology, 0.0161970717999*telephone 0.0124211536538*writing 0.0120563124881*israeli 0.0120563124698*williamson 0.0120563123034*jean-pierre 0.0120563122442*jean-luc 0.0120563122359*(fall",-58.8891444354
115,0.0232080495427*labour 0.0224560121149*results 0.0174960907101*attacks 0.017150965527*commons 0.0153780252957*exchange 0.0146218711372*margaret 0.0140009379969*saying 0.013775102383*parliament 0.0125361560032*telegraph. 0.0125361558941*poll,-59.1365690797
116,"0.0386616823445*gustav 0.0316020941425*society. 0.0287922061735*für 0.0278361492283*postmodern 0.022381025343*carl 0.0193399261246*zeitschrift 0.0187779125445*available 0.0163276167005*1: 0.0156617385164*mark 0.0135963848012*""on",-59.1482498042
117,0.0519697743164*don 0.0315119391604*lebanese 0.0245517963022*mahmud 0.0195332284018*2nd 0.0184198770467*spain 0.0175916530678*ammonius 0.0129693182484*plotinus 0.0114125191228*spanish 0.0108511606326*general 0.0106315105581*lebanon,-59.2089004661
118,0.0265580134262*remarks 0.0230282005548*nicolas 0.0193880293707*wittgenstein 0.0187672124761*wittgenstein's 0.0187450885106*sex 0.0161386198248*also 0.0152373735608*archives 0.0152373733335*duc 0.0152373652819*jean-baptiste 0.0130317180363*english,-59.3623550176
119,"0.0304309918353*england 0.0277620809894*married 0.0233753056286*dictionary 0.0201581387338*henry 0.0196520552612*thomas 0.0185301782933*england, 0.0170167661127*oxford 0.0165589351722*lord 0.0160018914409*john 0.0150433403584*(united",-59.9437453203
120,0.027875289525*(2008) 0.0259422929754*air 0.0221467468088*(2014) 0.021704974894*(2012) 0.018898361583*francesco 0.0184561302569*(2010) 0.0159548287206*ed 0.0159548282178*περὶ 0.0157272954809*stoic 0.0156499762836*iii.,-60.2468794256
121,0.0613989924625*anarchism 0.0572328793822*freedom 0.0570960231804*free 0.054728957679*libertarianism 0.0545646499916*libertarian 0.0363560912656*liberalism 0.0317925502022*de 0.0261750963782*political 0.0260780726858*market 0.0226758440586*isaac,-60.6868090566
122,0.0270997340303*chamber 0.021999660038*acts 0.0176378187039*experience 0.0165653283212*proposed 0.0163715152567*“ 0.0160958549239*present 0.0157529844425*above 0.0147740155737*beyond 0.0146492047811*my 0.0138216512714*simple,-61.213690388
123,"0.0343930268595*cognitive 0.0280899038255*(ed.), 0.0231837892304*linguistics 0.0215952123145*university 0.0176079653903*reprinted 0.0175476723441*new 0.0171585232557*(eds.), 0.0156806434998*also 0.0143219268365*linguistic 0.0137020220726*van",-61.276309549
124,"0.041017132907*abstract 0.0378109661772*authors 0.0296721133836*matter 0.0273624739875*metaphysics, 0.0169036937275*multiple 0.0165056618488*editions, 0.011368772955*rasa'il 0.0113687476473*purity 0.00569988207091*pages). 0.0056998817858*security:",-61.672539924
125,"0.0216771494518*business 0.0181385154499*smith, 0.016374731529*money 0.0128540792559*academic 0.0125505998077*financial 0.0114953168728*rate 0.0110570366902*lewis, 0.0102534464772*drug 0.00964949808964*great 0.0095829444716*capital",-61.686169164
126,"0.0249232570774*romanian 0.0214965429665*(""the 0.0176276916831*turkish 0.0156743631831*ion 0.0153328890526*traditional 0.0117213658205*during 0.0110346361107*editura 0.011034629685*(2010). 0.0110343545913*romania 0.0109476766704*i,",-62.2336722904
127,"0.0320731050144*mirza 0.0267779237128*help 0.0242528124189*citations 0.021933220402*claim 0.0195795172397*article 0.0189548158221*ahmadiyya 0.0189548152575*please 0.0186939002947*jesus, 0.0186939002718*eduard 0.0180694209835*improve",-62.5199691886
128,0.141244261635*poetry 0.101311605613*poems 0.0730489072916*poet 0.0644367551057*poem 0.0274308808136*love 0.0193684925404*also 0.0185657315963*literary 0.0163375904621*image 0.0152872056477*mario 0.0142974508371*life,-62.9725257963
129,"0.0279303839446*(1997). 0.0223553931501*democracy, 0.0166402926638*dog 0.0115340410979*classical 0.00790970816402*cynic 0.00627892180688*ed. 0.00574637387918*éric 0.00574637387918*weltsch 0.0057463735121*fotopoulos' 0.00574637349948*cassell",-63.0311133464
130,"0.127024575565*psychology 0.0593789357301*research 0.0572000764119*psychological 0.0551862679006*therapy 0.0550202155362*behavior 0.034591712957*psychology, 0.0284018445676*university 0.027381648894*film 0.0225008123457*applied 0.0202611439715*carl",-63.0607140527
131,"0.0224793076227*reason 0.0183874999775*tradition 0.0148945466562*scholars 0.014430840546*interpretation 0.0109435236534*form 0.010400775006*rational 0.00936240768336*view 0.00930673508708*approach 0.00928447228768*richard 0.00919561771863*1993,",-63.0913776919
132,"0.0636851243623*aesthetics 0.0507367769688*graham 0.0402792662326*murder 0.0350836350858*ron 0.0151920462047*scruton 0.0136000721988*pagan 0.0111189534179*mathematics 0.00524625241254*erdős 0.00524625240301*ramsey 0.00524625204094*""roger",-63.1530712103
133,"0.0247095208084*red 0.0238144988659*rand 0.01910071133*ayn 0.0143869378499*determinism 0.0143861810433*ukrainian 0.0137816314055*bolshevik 0.012146086153*ukraine 0.0119140083859*grammatical 0.0119140080774*rand's 0.0116578638838*15,",-63.2902046488
134,"0.0371481654832*studies, 0.0200527231266*dark 0.0173875334868*said: 0.0141702574658*brief 0.0133541589157*house 0.0120827857821*palestine 0.0119814702948*palestinian 0.0115050383645*east, 0.0115050382615*interviews 0.0115050378102*romanticism",-63.4350502264
135,0.0284658591259*workers' 0.0268099190554*portal 0.0217680129501*simon 0.0165101306118*communism 0.0152246725033*democracy 0.0150434849198*revolution 0.012893889801*- 0.0110174055093*mikhail 0.0106377443539*red 0.0102960781783*scientific,-63.6556353779
136,"0.0189809793179*kinetic 0.0189806090882*energy 0.013073728448*milan, 0.00670784150572*rome, 0.00662288417296*pontifical 0.00657203379124*thomas 0.00655468275974*studies 0.00655468076535*fabro 0.00655468034137*dunayevskaya 0.00655468033826*emirs",-64.0041006456
137,"0.236288166924*de 0.122864259688*et 0.109730380093*french 0.103273360486*le 0.0652180588503*les 0.0611863123984*des 0.0451754898641*paris, 0.0416664926762*: 0.0279072753684*paris 0.0273916713844*sur",-64.1451782314
138,0.0258066386114*website 0.0255617410944*global 0.0242177409381*technological 0.0223506262308*technology 0.017969300598*it's 0.0177535677076*2005 0.0170040842514*daniel 0.016252943558*street 0.0160498778888*research 0.0152519704491*media,-64.2333547543
139,0.0487174081936*member 0.0394702764531*london 0.0362457804878*british 0.0353548872982*sir 0.0315509499798*lord 0.0302039377546*irish 0.0301981353562*succeeded 0.030002357547*earl 0.0278981387937*preceded 0.0269701237975*duke,-64.3065983581
140,0.0270617701304*analytic 0.0205995286266*gottfried 0.0153233815924*virtual 0.0153233727982*figure 0.0150306016059*paradigm 0.0129003142774*third 0.0122879913336*school 0.0122035647268*hacker 0.0122035641828*1973. 0.0120770267115*feminine,-64.4780386884
141,0.0188340255602*personality 0.01483610387*(1): 0.0114487284907*water 0.0114487235634*qualities 0.011179484279*ego 0.0110115869736*(2): 0.0101055682645*freud's 0.0100783144412*(2011). 0.0100150356885*(3): 0.00996648592617*doctoral,-64.7275116226
142,"0.0822250796155*iranian 0.0759117196593*iran 0.056626511319*mohammad 0.0467789853637*reza 0.0244134747552*tabrizi 0.0237068444475*20, 0.0227756736051*mawlana 0.0221155337425*nancy 0.0190211938564*jean-luc 0.017743262321*political",-64.9953908817
143,"0.0260152449841*davis 0.0250559241876*women 0.0238871127129*star 0.0227944551346*madrid, 0.0192436819453*gender 0.0188712213216*tv 0.0180131930866*new 0.0156774664132*prayer 0.0153260096097*amina 0.0138597824376*-",-64.9978937263
144,0.0457557238035*republic 0.0384927749629*adam 0.0304864944706*nationalism 0.0296515963224*nations 0.0267031430885*siege 0.0212633901006*yugoslav 0.0212633897927*croatian 0.0212633888924*coalition 0.0212633832326*massacre 0.0210768968405*camp,-65.4012487241
145,"0.046294951937*capitalist 0.0266779724513*uk: 0.0250904920398*dialectical 0.0224275063396*material 0.0216153416143*experiences 0.019388976857*proletariat 0.0146040587779*и 0.0125638573078*political 0.0123293897985*(""on 0.012113259054*modernist",-65.4361131296
146,"0.0475890699128*urdu 0.0322622732164*heart 0.0290555064497*joan 0.0223944664991*mir 0.0190834469422*seuil, 0.016261522061*oil 0.0160458894879*1997. 0.015819339647*rise 0.0129674655075*con 0.0111010110976*1997",-65.7432362514
147,"0.0441736776267*syrian 0.0361838818834*ba'ath 0.0337799404915*syria 0.0312244219477*notre 0.027683604751*dame 0.018101141478*party, 0.0179226658012*nationalism 0.0173926282647*salah 0.0173551470237*aflaq 0.0170603036559*roberto",-66.2287754829
148,"0.0975772373124*pierre 0.0671676981818*collective 0.0380883323262*psychical 0.0341320947721*psychic 0.0218536813338*hypothesis 0.0210342024801*proceedings 0.017077982601*lévy 0.0149259936017*society 0.0127120228113*price, 0.0127120228113*afterlife",-66.2668115863
149,0.0243690199106*modal 0.0219583270903*killed 0.0195454840657*arnold 0.0147219629044*stefan 0.0145495441199*palestinian 0.0134120334314*abdullah 0.0125755427317*brother 0.0124289243992*hero 0.0121914466233*gutenberg 0.0119318593085*palestine,-66.4262588868
150,0.0583436037741*ad 0.0361092079211*(on 0.029892598371*cf. 0.0246070246926*philip 0.0187804253502*suicide 0.0154078838646*m. 0.0111330787595*curve 0.0111330787595*ervin 0.00879201399112*- 0.00874643677691*lucius,-66.4359793155
151,0.050021977555*tom 0.0378424067995*dar 0.0330034382329*(a 0.0221900894138*iain 0.0221900797664*hamilton 0.00575219588502*george 0.00570387421117*morteza 0.00570387421117*huntington 0.00570387421117*-e- 0.00570387421117*dzieje,-66.5686584998
152,0.028230752378*san 0.0195242600708*historic 0.0181023488449*kennedy 0.0165331739918*ann 0.0147314364583*magic 0.0135420903423*houghton 0.013542090236*phillips 0.0135420635497*christians 0.0134587676237*king 0.0128759712353*park,-67.3014676198
153,"0.0331278918831*publishers, 0.0290823140166*claude 0.0202451670482*friendship 0.0197992965771*ou 0.0185328355659*du 0.0175981616755*france 0.0167730656848*system 0.0158109464235*doctor 0.0154175772683*life 0.0134042211832*actual",-67.3517320149
154,"0.024616479964*(2008). 0.0219117911166*""john 0.0215687392989*manchester 0.0209602343424*guide 0.018776291897*slovenian 0.016245895739*manuscripts 0.0162458851004*owned 0.0162457360202*alternative 0.01371550103*witch 0.0134534357949*a.;",-67.3934579117
155,0.0510031472321*epic 0.0469649178189*colonial 0.0407964732332*empire 0.0231165881367*dutch 0.0194552682991*naples 0.0194552679681*dordrecht: 0.0157960152003*imprisoned 0.0157960150593*libri 0.0117577856541*virgil 0.0117577856541*indonesia.,-67.4387865315
156,0.104936210792*islam 0.0932639103634*ahmad 0.0889137127798*islamic 0.0575023247892*al 0.050361643498*sufi 0.0370565092251*ibn 0.0344939933585*ali 0.0318743113309*persian 0.0310168569218*fi 0.0238250940883*sufism,-67.869597936
157,0.0191135405747*version 0.0173046324804*series 0.016926512402*night 0.0158754144701*produced 0.012191376426*carolina 0.0111897294666*story 0.0106122179551*husband 0.0102971983545*inspired 0.0100525707876*stories 0.00968198149725*opera,-68.5170935714
158,0.0397212708778*polish 0.024429004344*five 0.0211961613242*poland 0.0171409061905*arms 0.015421328757*books. 0.0145231120295*(2006). 0.0133825068362*herman 0.0118485051554*1979 0.0107346059265*order 0.010520765006*europe,-68.6846003768
159,0.0205353294554*(help) 0.0168809373828*nazi 0.0166927525662*maria 0.0134712930363*requires 0.0131322723299*x 0.0125385360548*|url= 0.0120454317672*germany 0.00991532637135*wagner 0.00975838417608*city 0.00898256432687*|access-date=,-68.6883487176
160,"0.0420189284926*rome 0.0287276432017*bc, 0.0235634551564*bc 0.018091309069*religions 0.016573701556*buddhism 0.0158360210847*plutarch, 0.0138221241249*schools 0.0131574209666*rome. 0.013157400234*caesar's 0.0131343168608*caesar",-68.7057681753
161,"0.0881142883793*political 0.0858104103063*politics 0.0534383962667*historical 0.0394175530151*university 0.0363789526934*work 0.0340386058047*social 0.031249048598*theory 0.0284302918081*history 0.0283630850586*history, 0.0236787931913*anarchist",-68.7284687569
162,0.0286290972854*darul 0.0231025001742*carlos 0.0156288612469*reinhold 0.0132280721077*conversations 0.0131792125442*stanley 0.0130824501868*ahmad 0.0129753127707*uloom 0.0129753127086*courage 0.0129753124893*arrested 0.0129743108934*manuel,-68.8215533752
163,0.0520647809381*anthony 0.0439371220249*marriage 0.0325604228507*chancellor 0.0286459070894*timothy 0.0286459014394*prometheus 0.0286459007069*klaus 0.028645816479*alice 0.019260279*cat 0.00495078077506*baron 0.00495077795275*hepworth,-69.4048186036
164,"0.0660084763807*wilhelm 0.0307015584707*über 0.0155423412847*hegel, 0.0148622132387*romantic 0.0129132236764*war: 0.0127358770987*germany, 0.0126664877347*ritter, 0.0116782537014*article 0.0110600536155*napoleon 0.0102841061102*schelling's",-69.4275900231
165,0.0257002135744*elder 0.0155319230301*oratory 0.0154978110143*birmingham 0.00677398277354*richard 0.0055150982948*e. 0.00536362200565*encyclopedia 0.0053636219137*lipps 0.0053636219137*piccinini 0.00536362184373*rameau's 0.00536362184245*preliminary,-69.5288228415
166,0.192983974448*russian 0.102979029302*alexander 0.0963461812905*soviet 0.0676257004121*(in 0.0603879063193*russia 0.0396066436927*vladimir 0.0333222193591*moscow 0.0192816922073*basque 0.0183191822048*political 0.0111850949749*boris,-69.5325898418
167,"0.0333610419157*award 0.0223912649302*band 0.0221529543469*aid 0.0213473784513*black 0.0208204757859*philadelphia 0.0196136196416*(1977) 0.0182959562912*best 0.0177393133717*award, 0.0173125969988*fiction, 0.0173125932835*adventures",-69.5335034346
168,"0.183767371458*(with 0.0321604983285*hungarian 0.017926981307*co. 0.0142770700219*soc. 0.0142770699385*jasper 0.010627156786*marr 0.010627156786*hermann, 0.0106271563927*shield 0.0106271563653*days, 0.0106271563631*ramus",-69.6921126055
169,0.0515500379285*ian 0.0311216047268*meat 0.0285307212104*world. 0.0217997857651*jack 0.0209799306337*stewart 0.0209798610361*talk 0.0141060947199*hugo 0.0141060006541*spontaneous 0.0108382481669*primordial 0.010499820524*(spring,-69.9348250788
170,0.0459819208285*enlightenment 0.0254205045105*civilization 0.0253736143789*tahir 0.0235172096066*place 0.0229608585721*dialogue 0.0227093923035*baron 0.0171050500954*durant 0.017105030814*denis 0.0171031819322*voltaire 0.0166915634903*board,-70.0104521097
171,"0.0296263691316*thesis 0.0296261711613*atheism 0.023471801145*crime 0.0232875979761*mystery 0.0231531018918*école 0.0197571094256*equation 0.0163611162856*craig 0.0163611125404*(la 0.0132838284368*pocock, 0.00988783597345*confederation",-70.0151580022
172,"0.0440469226795*vienna 0.0305546278935*circle 0.0258394294777*topics 0.0224976269708*beauty 0.0212456591918*external 0.0193498880629*philipp 0.0167421918631*dr 0.0138644242323*1996. 0.0138644146479*vienna, 0.0138145200967*ethical",-70.1559978806
173,"0.0280772869414*women 0.0224543337234*face 0.0206484036933*female 0.0203340013596*memoirs 0.0184206358494*fine 0.0176219380715*2000. 0.017370988088*named 0.0143955515108*publishing, 0.0138534318263*woman 0.0135701386115*centre",-70.4008531605
174,0.142810204453*el 0.107378369335*de 0.100742004231*en 0.0725343396722*del 0.0389111847635*miguel 0.0289530451566*los 0.026029705402*que 0.0234619952625*las 0.0131447223449*por 0.0112749959797*international,-70.7424780093
175,"0.0466221793794*energy 0.0333901295416*pakistani 0.0328107844401*line 0.0296566187199*khan 0.0238406610823*conservatism 0.017938153024*28, 0.0168588163529*27, 0.0154497023429*white, 0.0152446941654*atomic 0.0128862648989*attended",-70.8480349149
176,"0.0236667452965*martin 0.0163469689047*next 0.0162564919656*assassination 0.013815936961*2004, 0.0132925157284*expressed 0.0122059729059*african 0.0114414634688*luther 0.0109779710816*king, 0.0103669891381*race 0.0102828719039*hugh",-71.2449128135
177,"0.0346012674572*1999 0.0292153208385*routledge, 0.0243268685369*count 0.0218000484539*eds. 0.0205787743231*prison 0.0187247672707*urban 0.0184930549745*aristotle, 0.0157486987183*aryan 0.013696114461*stanford 0.0132947784723*arrested",-71.7681615542
178,0.117694157701*italian 0.101162859435*e 0.0848366242461*di 0.0449343766968*il 0.0401455621473*del 0.0389734316867*de 0.0203566043797*political 0.0190694197569*giovanni 0.0187141484575*da 0.0173262869185*giuseppe,-72.0420948574
179,0.0468326740943*issn 0.0318800916618*liberation 0.0239623961251*international 0.0228651179565*bangladesh 0.019777768328*fellow 0.0195692104836*court 0.0171059468545*sentenced 0.0162257340566*leader 0.0153699976677*charges 0.0150194155397*crimes,-72.8508137761
180,"0.0279145445379*stuart 0.0235554574994*near 0.0209516532994*mill 0.0189814283517*seyyed 0.018981428247*nasr, 0.0186148053898*first 0.015718767195*puzzle 0.015718767195*sam 0.0149344190857*suny 0.0138332489119*sons",-73.0817230764
181,0.0424540604394*epistemology 0.0322348567561*category 0.0218298488066*cohen 0.021597539741*ordinary 0.0211911650505*gilbert 0.0184681384097*university 0.0179364622927*political 0.0172471380204*distinction 0.0168785387528*santa 0.0165254890134*selected,-73.1049977489
182,0.0918768388579*japanese 0.0517515703946*o 0.0354090493525*kyoto 0.0260741237345*ontology 0.022056020643*school 0.0209075983915*athens 0.0172415182747*western 0.0143889002155*no 0.0130297114953*nothingness 0.0110244688516*absolute,-73.111780588
183,0.154201939245*science 0.0788416192608*scientific 0.0644987504303*philosophy 0.0341854190952*university 0.0319501072972*theory 0.0301872165145*history 0.0235726882394*john 0.0193696697491*jews 0.0164904081151*work 0.0131231085658*israel,-73.741917192
184,0.0301798795767*practice 0.0260968251132*equal 0.0246512622777*smith 0.0240033842803*strike 0.0213207130324*barbara 0.0198746342186*points 0.0176238722142*interests 0.0157365262947*equality 0.0132539039914*holmes 0.0109757307121*miletus,-73.8968539496
185,0.0559007777466*norman 0.0430908909088*buddhist 0.0408490174775*evangelical 0.0312811535211*truth 0.0297782762006*school 0.0294761859175*temple 0.0269622588228*buddha 0.0208846500465*systematic 0.0199417517421*buddhism 0.0178612258968*chinese,-73.9586272933
186,0.0303453713899*design 0.0258625821698*institute 0.0253472071436*generation 0.0227405222006*building 0.0180164082367*built 0.0177628304356*otto 0.0154097282434*picture 0.0151650958713*patent 0.0151650901016*fuller 0.0151650781581*lloyd,-74.4493471496
187,"0.020721054824*jay 0.017115310041*judicial 0.0164178169865*complex 0.0161435456674*family 0.015056172232*puf, 0.012653133422*theodore 0.0113104404781*behavioral 0.00939123604329*sade 0.00762488137174*regiment 0.00762488108575*sr.",-74.5684676267
188,0.0605890965934*spanish 0.0397823541107*josé 0.0380603134223*los 0.025794070418*juan 0.0207996416674*san 0.0180456343154*blue 0.0167056637162*gallery 0.0148831803242*angeles 0.0148566505984*museum 0.0133900056912*paintings,-74.8572208975
189,"0.0283462212537*4, 0.021857577642*emmanuel 0.0190317948752*semiotics 0.0168196663382*interview 0.0167646086074*reviews 0.014009059543*(april 0.0124777723239*italy 0.0113014823375*1972 0.0112393845608*critics 0.0106193427968*16,",-74.9337102178
190,"0.0860351934761*african 0.0725855698689*critical 0.0593623239204*black 0.059160862374*v. 0.0398877797209*mark 0.0328816010299*19, 0.0239503875657*white 0.0129309599655*21, 0.0121091990616*algerian 0.0093575893911*world",-74.9673719301
191,"0.0719861987842*women 0.0572219881627*women's 0.0333472748509*psychoanalysis 0.0313288944031*psychoanalytic 0.0290187312079*poems, 0.0215949452035*rashid 0.017138388286*freud 0.010808685612*socratic 0.0108076166761*briefe 0.0101925485191*also",-74.9772402496
192,"0.0253608265595*india, 0.0189005263106*faculty 0.0165463446013*laërtius, 0.0164747160835*university. 0.0155719166058*institute 0.0146234747403*india 0.0141776177324*discourses 0.0140251028776*democritus 0.011465374321*encyclopedia 0.011079848771*institute,",-75.3564646807
193,0.0379090708753*gary 0.0370805108539*presbyterian 0.0346496590942*éditions 0.0316946375014*game 0.0296000631814*princeton 0.0287748104663*becoming 0.0222181679482*jonathan 0.0214521801547*l. 0.0198431237514*rules 0.0195130004187*children,-75.4051797455
194,"0.0182508140536*ten 0.0157391594743*adolf 0.0152221990052*antonio 0.0139398532667*(pdf), 0.0128473016237*(in 0.011078733689*approach 0.00980151161306*want 0.00942714711762*also 0.00889623060502*• 0.00869493615438*ab",-75.6220298543
195,0.0337311041014*f 0.0272125201303*e 0.0180299328786*g 0.0176877147123*h 0.0173127124126*steven 0.015777683736*poor 0.0143267889176*douglas 0.0142559986473*coming 0.0127503291159*c 0.0115961889033*understood,-75.8914881705
196,"0.0310739981314*hegel 0.0271479701262*principle 0.0222210505229*politics, 0.0195026366706*strauss 0.0186951553321*vol 0.0158075497433*hegel's 0.0154879769668*special 0.0130892729111*netherlands 0.0130892728312*strauss, 0.0130313791518*leo",-75.966488808
197,"0.0526996398599*language 0.0409291506435*linguistic 0.0359160805207*selection 0.0297902031362*grammar 0.0280159597902*evolution 0.0278526879048*darwin 0.0275415993777*language, 0.024054543359*evolutionary 0.0211866101656*communication 0.018686100522*origin",-76.0148867738
198,"0.0512009915003*violence 0.0271445980889*fire 0.0235724718575*university, 0.0192345651363*khan 0.018570975949*jinnah 0.0154487604167*telegraph 0.0150958242487*confucian 0.0123033768452*asian 0.0122492292083*han 0.0120772615262*iqbal",-76.0978430994
199,0.0655104904448*why 0.0404086319141*policy 0.0358817753227*2006 0.0237897599562*romantic 0.0227127758582*march 0.0201045960495*states 0.0182699686803*power 0.0176724402178*nuclear 0.0174921693988*security 0.0139997957757*scotland,-76.2395015832
200,0.030358618167*norwegian 0.0272684842934*lccn 0.0271327582709*green 0.0242517298273*lecture 0.0198813142865*wilson 0.0182337088997*nasr 0.0182272870767*anton 0.0182238278856*deep 0.0165751088169*issue 0.0150996274626*jacob,-76.3699659893
201,0.122925964746*(isbn 0.0360885754133*czech 0.016006920663*russia. 0.0155770886245*prague 0.0152871743657*moved 0.0130773298973*christopher 0.0121480321681*hans 0.0119147733696*radicalism 0.0119147733696*mahdi 0.00970094622983*letters,-76.578505054
202,"0.0577906059409*process 0.0434100437538*dan 0.0279331553414*christopher 0.0244401012148*mail 0.0193420809573*real 0.0159248715557*labour 0.014955124803*(2011), 0.0144881473802*believes 0.0144881467863*sunday 0.00997915206795*hitchens",-77.1212723157
203,0.0277929629241*motion 0.0272714637489*written 0.0252035217799*earth 0.0233231466119*hazrat 0.0208496383456*canon 0.0187511759345*planetary 0.017305400683*astronomy 0.0139541144829*alias 0.011780564378*celestial 0.011554576427*works[edit],-77.2991900705
204,0.229766014408*she 0.204449606047*her 0.0709759108575*university 0.0397451977191*feminist 0.0253101718425*mary 0.0230684505359*education 0.0164035413038*political 0.0132035573582*margaret 0.0119743115639*retrieved 0.0118372556841*feminism,-77.6913626929
205,0.0174464815926*roger 0.0168086429485*imam 0.0143682940441*medicine 0.0142750013994*malik 0.0132556252135*medical 0.0103262355829*umar 0.0103262342192*lahore 0.00953492165194*guardian 0.00936394703875*encyclopaedia 0.00931320572756*body,-77.9940105034
206,"0.0293852044285*values 0.0224706469574*phenomenological 0.0219212047541*phenomenology 0.0211961200038*institute 0.0196295820901*academy 0.0190014491654*universe 0.0163659876262*essence 0.0150697414211*philosophy 0.0149832265599*higher 0.0146964703063*film,",-78.306258942
207,0.0831391262885*henri 0.0428467677524*routledge. 0.0277263511097*notion 0.0251224218706*words 0.0238580404918*contact 0.0214325785548*division 0.0160411168765*verb 0.0119402282423*minnesota 0.0119402278755*verbs 0.0101892504573*articles,-78.3916016812
208,0.046772264018*believe 0.0323289375179*oclc 0.0262109785769*teaching 0.0242277669646*suny 0.0202928315876*cross 0.019233701221*skeptical 0.0128751580983*concluded 0.0110351167109*mariology 0.0108816538566*teresa 0.0105752882003*research,-78.4750813103
209,0.0466297608746*pmid 0.0446175015722*medicine 0.0383103859636*medical 0.0281012428495*brain 0.025266298753*neuroscience 0.0234937859959*antonio 0.0197456848011*functions 0.016849476785*minnesota 0.0168494766416*cognition 0.0142250696056*pluralism,-78.4883423199
210,"0.0347190180233*publishing 0.0331620390164*london, 0.0156363192046*almost 0.0149459378385*letters 0.013655851556*tales 0.0136439837189*alchemy 0.0124790677939*poetry, 0.0123625004451*full 0.0120261991362*occult 0.0114932674816*york,",-78.5678893282
211,"0.0872140492722*literary 0.0562542412838*literature 0.0465634182542*criticism 0.0322313459431*literature, 0.0266330158839*english 0.0253589911585*japan 0.0235869893594*japanese 0.0199954127017*critical 0.0185183583918*buddhism 0.0183467917769*study",-78.8126010414
212,"0.017399617241*spring 0.0142002955453*perhaps 0.0130938239198*wang 0.00970456272889*new 0.00970112632848*chinese 0.00949469143913*barry 0.00943087145122*hong 0.0094154389942*propaganda 0.00890146783549*power, 0.00865564816506*universe",-79.1248896717
213,"0.0373064845576*§ 0.0335519885005*laërtius 0.0281101737545*i. 0.0274487818895*soul 0.0250092267636*also 0.0246489798915*de 0.0243785630119*roy 0.024234137838*1925, 0.0206337351567*resurrection 0.0202222948794*cicero,",-79.2006252639
214,"0.128129257207*london: 0.0514620001496*williams 0.029825447228*(ed.) 0.0272609303675*williams, 0.0263055287649*edition, 0.0218605310406*culture, 0.0174842423102*bibliography 0.0172435698643*minority 0.0123552224146*verso, 0.0123552224037*1989.",-79.8088762779
215,"0.0343295987659*susan 0.0311647464882*radical 0.0225136431174*anne 0.0199115288772*women 0.0175300982099*women's 0.015298174814*day 0.0138986610546*alexander 0.013658176584*pittsburgh 0.0136581736626*""mary 0.0123905496701*men",-80.1568419406
216,"0.0198445945037*spain 0.0178438111387*civil 0.0166029515197*universidad 0.015020047157*pp. 0.0140007199138*luis 0.0136681774577*revista 0.0118985731694*free-market 0.0103685047721*university, 0.010294867276*norbert 0.0100604383829*von",-80.6767845603
217,0.0474436601513*eugene 0.0309805642998*speech 0.0293693543696*rhetorical 0.0174284877366*rhetoric 0.00610279898563*students 0.00610279693092*become 0.0061027968525*dawud's 0.0061027968525*barton 0.0061027968525*isocrates' 0.0061027968525*share,-81.3724444301
218,0.0273918381668*language 0.0268619069708*directed 0.0220280047219*theatre 0.0185527938827*amin 0.0160679134213*بن 0.0156866668476*stage 0.0135683163337*ayatollah 0.0135655243207*shakespeare 0.0134558457317*reason 0.013330803521*issues,-81.8214590451
219,"0.0781179583794*maulana 0.0241433530618*authority 0.0236737603999*toronto 0.023141064062*tree 0.0228297680025*oral 0.019754013283*baker 0.0196041988736*records 0.0166772173542*cathedral 0.0166772169787*mentions 0.0166772166706*(paris,",-82.3525747242
220,"0.0432167706723*rose 0.0273635931225*engineering 0.022946407213*retrieved 0.0207776788466*harold 0.0175531421369*parties 0.0125791723649*elections 0.0118372490772*hartman 0.0118372486567*doctorate, 0.011837248628*boolean 0.0118372485856*digital",-83.1654970503
221,0.0478453898579*müller 0.0199291942454*max 0.011841407735*isis 0.00638111376994*first 0.00622830350442*five 0.00622829996362*(the 0.00622829978445*yin 0.00622829978445*cheng 0.00622829978445*zhou 0.00622829978445*dunyi,-83.4298284173
222,0.265498984169*moral 0.18634165415*ethics 0.128409647577*philosophy 0.075901299862*university 0.0155428502213*political 0.0102581822108*recordings 0.00268711088047*modern 0.0024377885248*business 0.00229767771817*became 0.00227246122193*walter,-83.6533730712
223,"0.0724399649527*technology 0.0708149959743*d. 0.0644073341184*ethical 0.0514143221895*gurdjieff 0.0307250235339*books, 0.0252142329307*published 0.0236331786451*information 0.0192612395992*our 0.0184342216228*fourth 0.0176755586215*search",-84.5722721172
224,0.0323847137227*character 0.0191150367757*letters 0.0176090648847*letter 0.0169792340265*seems 0.0149584556935*volumes 0.0149032776265*plato's 0.0148928218087*thomas 0.014284623253*platonic 0.0132067172255*plato 0.0131037654676*correspondence,-84.631567276
